EMBL-CDS,emb
UniParc,up
UniRef100,up
UniProtKB-ID,up
NCBI_TaxID,null
CRC64,null
UniRef90,up
UniRef50,up
Gene_Name,null
ChiTaRS,null
Ensembl_TRS,ensembl
Ensembl_PRO,ensembl
RefSeq_NT,rs
RefSeq,rs
Ensembl,ensembl
ProteomicsDB,null
HGNC,hgnc
GeneTree,null
EuPathDB,null
UCSC,null
PDB,null
HOGENOM,null
Reactome,null
GeneID,ncbi-geneid
GenomeRNAi,null
CCDS,null
KEGG,null
DrugBank,null
OrthoDB,null
Gene_Synonym,null
OMA,null
MIM,null
GeneCards,null
PharmGKB,null
BioMuta,null
neXtProt,null
eggNOG,null
STRING,null
TreeFam,null
BioGRID,null
DMDM,null
DNASU,null
Gene_ORFName,null
GeneWiki,null
MINT,null
Orphanet,null
UniPathway,null
ChEMBL,null
DIP,null
ComplexPortal,null
TCDB,null
CPTAC,null
GuidetoPHARMACOLOGY,null
GeneReviews,null
GlyConnect,null
BioCyc,null
MEROPS,null
IDEAL,null
SwissLipids,null
DisProt,null
ESTHER,null
Allergome,null
PeroxiBase,null
REBASE,null
PATRIC,null
GeneDB,null
